id,hist_id,operation,snapshot,operator,created
1,1,create,"{""version"": ""0000"", ""name"": ""init"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [], ""checksum"": ""8f806e730fa5ce5ec9b7a91fe8807ad1f9387d9f""}",,2026-04-21 02:08:36
2,1,update_succ,"{""version"": ""0000"", ""name"": ""init"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [], ""checksum"": ""8f806e730fa5ce5ec9b7a91fe8807ad1f9387d9f""}",,2026-04-21 02:08:36
3,2,create,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""a5effe6f9de84863d766a4e0efb8eadfd1a078d3""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""c2dcc16ba30cbb9abd25710c22df117127dda891""}",,2026-04-21 02:31:19
4,2,update_succ,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""a5effe6f9de84863d766a4e0efb8eadfd1a078d3""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""c2dcc16ba30cbb9abd25710c22df117127dda891""}",,2026-04-21 02:31:19
5,3,create,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-04-21 02:47:31
6,3,update_succ,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-04-21 02:47:31
7,3,update_rollback,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-04-21 02:53:15
8,3,delete,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-04-21 02:53:15
9,2,update_rollback,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""a5effe6f9de84863d766a4e0efb8eadfd1a078d3""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""c2dcc16ba30cbb9abd25710c22df117127dda891""}",,2026-04-21 02:53:15
10,2,delete,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""a5effe6f9de84863d766a4e0efb8eadfd1a078d3""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""c2dcc16ba30cbb9abd25710c22df117127dda891""}",,2026-04-21 02:53:15
